TCFR_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TORS_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCONFIG_00_04   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TCRF_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TKEY_XX   ;   Tempo : 00:00:00   ;   Registros : 4   ;   ORM
TNFE_XML   ;   Tempo : 00:00:10   ;   Registros : 2371   ;   ORM
TNFE_00   ;   Tempo : 00:00:05   ;   Registros : 3512   ;   CopyDataSet
TTAB_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TGNRP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TEXP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCOD_00   ;   Tempo : 00:00:00   ;   Registros : 105   ;   ORM
TREQ_00_01   ;   Tempo : 00:00:00   ;   Registros : 95   ;   CopyDataSet
TPES_00   ;   Tempo : 00:00:01   ;   Registros : 770   ;   CopyDataSet
TBCP_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLFS_00_01   ;   Tempo : 00:00:00   ;   Registros : 508   ;   CopyDataSet
TMFC_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFP_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFAT_00_01_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TOMF_00_10   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFAT_00_05   ;   Tempo : 00:00:03   ;   Registros : 398   ;   ORM
TPALM_PDA_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TPRT_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRPA_00_02_01   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TXML_MDFE_00   ;   Tempo : 00:00:00   ;   Registros : 87   ;   CopyDataSet
TPES_00_03   ;   Tempo : 00:00:00   ;   Registros : 10   ;   ORM
TOMF_00_08   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLFS_00_06   ;   Tempo : 00:00:00   ;   Registros : 119   ;   ORM
TINV_00   ;   Tempo : 00:00:08   ;   Registros : 7417   ;   CopyDataSet
TLFE_00   ;   Tempo : 00:00:08   ;   Registros : 5398   ;   CopyDataSet
TPRO_00_05   ;   Tempo : 00:00:38   ;   Registros : 8331   ;   ORM
TBLC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMFC_00_03_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSCP_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSCP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSEG_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TVEI_00_01   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TGAI_00   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TPRO_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPSQ_XX   ;   Tempo : 00:00:05   ;   Registros : 960   ;   ORM
TRETQ_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCTA_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TDCH_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMTL_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPDC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TROT_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCSTPC_00   ;   Tempo : 00:00:00   ;   Registros : 33   ;   ORM
TCRE_00_02_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCST_00   ;   Tempo : 00:00:00   ;   Registros : 11   ;   ORM
TIRF_00   ;   Tempo : 00:00:00   ;   Registros : 5   ;   ORM
TNFE_00_06_01   ;   Tempo : 00:00:14   ;   Registros : 3582   ;   ORM
TLEE_00_03   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TPRO_00   ;   Tempo : 00:00:20   ;   Registros : 8340   ;   CopyDataSet
TRFC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRT_00   ;   Tempo : 00:00:00   ;   Registros : 5   ;   ORM
TSGM_00   ;   Tempo : 00:00:00   ;   Registros : 50   ;   ORM
TMIF_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRCC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSCP_00_03_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRF_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRB_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TVEI_00   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TCPF_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRB_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TLFS_00_08   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TDIZ_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPPD_00_01   ;   Tempo : 00:00:00   ;   Registros : 41   ;   ORM
TORS_00_02   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TDEP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPLC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TATB_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TAFC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TTXS_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPM_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCX_00   ;   Tempo : 00:00:15   ;   Registros : 15109   ;   CopyDataSet
TLFE_00_01_01   ;   Tempo : 00:00:26   ;   Registros : 17408   ;   CopyDataSet
TPLC_00   ;   Tempo : 00:00:01   ;   Registros : 294   ;   ORM
TFAT_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TTXS_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TXML_CTE_00_01   ;   Tempo : 00:00:00   ;   Registros : 91   ;   ORM
TMFC_00   ;   Tempo : 00:00:00   ;   Registros : 87   ;   CopyDataSet
TLFE_00_01   ;   Tempo : 00:00:06   ;   Registros : 6227   ;   CopyDataSet
TNFP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPES_00_07   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCP_00_02   ;   Tempo : 00:00:02   ;   Registros : 634   ;   ORM
TCRE_00   ;   Tempo : 00:00:01   ;   Registros : 785   ;   CopyDataSet
TLFS_00_02   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TMFC_00_05   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFP_00_05   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPES_00_02   ;   Tempo : 00:00:00   ;   Registros : 22   ;   ORM
TLFS_00_07   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TTLN_00   ;   Tempo : 00:00:00   ;   Registros : 48   ;   ORM
TPRO_00_06   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMDV_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCTA_00_05   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
